	Iozone: Performance Test of File I/O
	        Version $Revision: 3.429 $
		Compiled for 64 bit mode.
		Build: linux 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa.

	Run began: Sat May  2 05:48:13 2020

	Auto Mode
	O_DIRECT feature enabled
	Command line used: iozone -aI
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            8192       8    59153    84558    76034    76995    36080    82700    33247     44888     33641   337565   513730  1018042   885336
            8192      16    96746   125116   112130   112866    58989   137993    57816     86769     55677   405005   611211  1077621  1104644
            8192      32   144507   174516   149795   150143    92794   207433    82860    165924     84108   460402   675577  1258745  1269488
            8192      64   194663   221262   221339   221747   135469   276961   116131    250649    124081   507553   747441  1405892  1399137
            8192     128   238541   258055   217427   213733   203903   336441   171388    329789    160596   405708   577389  1143806  1520422
            8192     256   269155   277740   302991   298065   270924   373533   222505    355445    199883   549318   830751  2036276  1659345
            8192     512   286193   290950   290240   322430   295631   394777   221142    314967    204903   593495   864595  1975400  1686218
            8192    1024   435883   440408   444539   439108   567593   702153   377738    695896    327445   607945   855383  1877601  1636816
            8192    2048   555158   462771   587367   546461   591992   740291   381360    740881    361792   708962  1023104  1127295  1007268
            8192    4096   651285   509895   632498   627256   629566   784078   438548    788812    418282   748336  1456365  1014105  1159673
            8192    8192   831254   605822   693816   687596   779666   838557   565827    876796    659093   482764   662243   819458   783470
           16384       4    32004    45409    44600    44554    19629    46210    19377     22152     21899   245126   348352   503905   484705
           16384       8    58462    80800    77380    77854    35896    82830    34524     41911     34513   337465   503798   678651   609113
           16384      16    99387   127419   128880   123122    58159   136627    55146     82745     48240   402803   598524   528498   551796
           16384      32   156161   189643   171008   165759    92245   206418    85289    165469     86336   448643   654990   719388   685263
           16384      64   215166   242320   212356   210515   136665   275894   128591    276663    124924   504045   735472   789780   741216
